                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.8069,                 1.3761,                 1.4759,                0.83792,                0.61667,                0.67883,                 0.2773,                 2.2615,                 1.5116,                 1.4374,               0.001703,               0.001703,               0.001703
                     47,                 1.7906,                 1.2494,                 1.5587,                0.81094,                    0.6,                0.66694,                0.27454,                 2.2855,                 1.2862,                  1.505,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.8553,                  1.264,                 1.5164,                0.74462,                0.58333,                0.61071,                0.30331,                  2.127,                 1.1879,                 1.3965,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.7451,                 1.2142,                 1.5325,                0.73834,                0.66667,                0.71977,                0.32627,                 1.9933,                 1.1196,                 1.3651,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.8466,                 1.2401,                 1.5988,                0.78375,                0.58333,                0.67503,                0.28133,                 2.4591,                 1.3998,                 1.6463,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.8381,                 1.2417,                 1.6088,                0.75974,                0.63244,                0.65815,                0.28433,                 2.0312,                 1.4796,                 1.3715,                0.00167,                0.00167,                0.00167
                     52,                 1.8399,                 1.2421,                 1.5328,                0.76576,                0.53333,                0.64644,                0.31329,                 1.7936,                 1.2397,                 1.3089,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.7462,                 1.1901,                  1.549,                0.82751,                    0.5,                 0.6117,                0.24167,                 2.2207,                 1.2699,                 1.4203,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.8935,                 1.2434,                 1.5092,                0.78812,                0.55805,                0.68746,                0.32487,                 1.7139,                 1.2099,                 1.3021,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.7329,                 1.1903,                 1.5306,                0.75912,                0.57786,                0.62894,                0.30636,                 1.9163,                 1.2063,                 1.3618,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.7464,                 1.1759,                 1.5627,                0.83584,                0.67895,                0.71351,                0.33375,                 1.8041,                 1.0703,                  1.339,               0.001637,               0.001637,               0.001637
                     57,                 1.7168,                 1.1779,                 1.4641,                0.84798,                0.65077,                0.72609,                0.30717,                 2.2203,                 1.2043,                 1.4427,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.8022,                 1.2082,                 1.5104,                0.75756,                0.63333,                0.65609,                0.30179,                 2.1678,                  1.153,                   1.43,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.7569,                  1.152,                 1.5157,                 0.7677,                0.66101,                 0.7072,                0.30163,                 1.8895,                 1.1094,                  1.365,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.7378,                 1.1451,                 1.4673,                 0.8221,                0.58333,                0.69192,                0.31305,                 2.2769,                 1.1687,                 1.4189,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.7187,                 1.1562,                  1.544,                 0.8734,                0.63333,                0.71575,                0.33029,                 1.9194,                 1.1195,                 1.3364,               0.001604,               0.001604,               0.001604
                     62,                 1.6676,                 1.1103,                  1.473,                0.74394,                0.63333,                0.69645,                0.32018,                 1.9099,                 1.2048,                 1.3632,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.7315,                 1.1475,                 1.4686,                0.70473,                0.59674,                0.62121,                0.31433,                 1.9082,                 1.2307,                 1.3634,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.6335,                 1.1401,                 1.4176,                0.86313,                0.68333,                0.72976,                0.33898,                      2,                 1.1617,                 1.3737,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.6872,                 1.1146,                 1.5307,                0.86297,                0.62985,                0.71416,                0.33599,                 1.7357,                  1.175,                 1.2994,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.7579,                  1.103,                 1.4925,                0.83392,                0.63333,                0.72489,                0.33012,                 1.8931,                 1.0386,                 1.3878,               0.001571,               0.001571,               0.001571
                     67,                 1.7465,                 1.1132,                 1.3987,                0.84279,                0.66667,                 0.7134,                0.31557,                  1.959,                 1.0655,                 1.3568,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.6168,                 1.0899,                  1.439,                0.81102,                0.71529,                0.70458,                0.33664,                 2.0044,                 1.0911,                 1.3884,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.6759,                 1.0683,                 1.4816,                 0.7087,                0.66667,                0.69974,                0.27078,                 2.0289,                 1.2146,                 1.4024,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.6756,                 1.0932,                 1.4605,                0.87429,                0.71667,                0.73189,                0.34239,                 1.8458,                 1.0798,                 1.3503,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.7479,                 1.0861,                 1.4754,                0.79564,                0.63333,                0.70113,                 0.3078,                 2.0658,                 1.2935,                  1.357,               0.001538,               0.001538,               0.001538
                     72,                 1.6203,                 1.0267,                 1.4136,                0.85832,                 0.6059,                0.69144,                0.33321,                 1.8351,                 1.0322,                 1.3005,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.6576,                0.97627,                 1.4326,                0.82509,                0.55036,                0.64548,                0.31819,                  1.632,                 1.1402,                 1.2854,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.6507,                 1.0734,                 1.4281,                0.88099,                0.66667,                0.72872,                0.35608,                 1.7425,                0.97375,                 1.2818,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.6166,                 1.0402,                 1.4105,                0.92122,                   0.65,                0.72299,                0.32469,                 1.8814,                 1.1075,                  1.318,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.6625,                 1.0681,                 1.4527,                0.82698,                0.63333,                0.70508,                0.29498,                 2.0041,                 1.1321,                 1.3848,               0.001505,               0.001505,               0.001505
                     77,                 1.5778,                0.98554,                 1.3964,                0.92013,                    0.7,                0.78441,                0.36468,                 1.8425,                0.88195,                  1.317,              0.0014984,              0.0014984,              0.0014984
